循环号,充电容量(Ah),放电容量(Ah),文件名
262,2.6023,2.5999,240081-2-7-53.xlsx
263,2.6008,2.5994,240081-2-7-53.xlsx
264,2.6009,2.6023,240081-2-7-53.xlsx
265,2.6069,2.604,240081-2-7-53.xlsx
266,2.5979,2.5949,240081-2-7-53.xlsx
267,2.5923,2.5897,240081-2-7-53.xlsx
268,2.5931,2.5954,240081-2-7-53.xlsx
269,2.6085,2.6078,240081-2-7-53.xlsx
270,2.5984,2.5944,240081-2-7-53.xlsx
271,2.5844,2.5809,240081-2-7-53.xlsx
272,2.5794,2.577,240081-2-7-53.xlsx
273,2.5834,2.5885,240081-2-7-53.xlsx
274,2.6082,2.609,240081-2-7-53.xlsx
275,2.5984,2.593,240081-2-7-53.xlsx
276,2.5821,2.5797,240081-2-7-53.xlsx
277,2.5798,2.5778,240081-2-7-53.xlsx
278,2.5793,2.5804,240081-2-7-53.xlsx
279,2.6017,2.6047,240081-2-7-53.xlsx
280,2.5891,2.584,240081-2-7-53.xlsx
281,2.5722,2.5677,240081-2-7-53.xlsx
282,2.5698,2.5681,240081-2-7-53.xlsx
283,2.5691,2.5715,240081-2-7-53.xlsx
284,2.5755,2.5768,240081-2-7-53.xlsx
285,2.5845,2.5818,240081-2-7-53.xlsx
286,2.5791,2.577,240081-2-7-53.xlsx
287,2.5707,2.5683,240081-2-7-53.xlsx
288,2.5643,2.5637,240081-2-7-53.xlsx
289,2.57,2.5703,240081-2-7-53.xlsx
290,2.5708,2.5701,240081-2-7-53.xlsx
291,2.5611,2.556,240081-2-7-53.xlsx
292,2.5596,2.5586,240081-2-7-53.xlsx
293,2.5537,2.5521,240081-2-7-53.xlsx
294,2.5698,2.5757,240081-2-7-53.xlsx
295,2.5756,2.5735,240081-2-7-53.xlsx
296,2.5656,2.5601,240081-2-7-53.xlsx
297,2.5491,2.5455,240081-2-7-53.xlsx
298,2.5434,2.5413,240081-2-7-53.xlsx
299,2.5432,2.5428,240081-2-7-53.xlsx
300,2.5521,2.5546,240081-2-7-53.xlsx
301,2.5418,2.537,240081-2-7-53.xlsx
302,2.5338,2.5292,240081-2-7-53.xlsx
303,2.5247,2.5227,240081-2-7-53.xlsx
304,2.5266,2.5254,240081-2-7-53.xlsx
305,2.5345,2.5389,240081-2-7-53.xlsx
306,2.5337,2.5289,240081-2-7-53.xlsx
307,2.5178,2.5148,240081-2-7-53.xlsx
308,2.5167,2.5152,240081-2-7-53.xlsx
309,2.5217,2.5206,240081-2-7-53.xlsx
310,2.5309,2.5385,240081-2-7-53.xlsx
311,2.5389,2.5335,240081-2-7-53.xlsx
312,2.52,2.5153,240081-2-7-53.xlsx
313,2.5117,2.5106,240081-2-7-53.xlsx
314,2.5119,2.5141,240081-2-7-53.xlsx
315,2.5201,2.5218,240081-2-7-53.xlsx
316,2.5245,2.5209,240081-2-7-53.xlsx
317,2.5197,2.518,240081-2-7-53.xlsx
318,2.5123,2.5096,240081-2-7-53.xlsx
319,2.5122,2.5152,240081-2-7-53.xlsx
320,2.523,2.5225,240081-2-7-53.xlsx
321,2.5162,2.5113,240081-2-7-53.xlsx
322,2.4984,2.4952,240081-2-7-53.xlsx
323,2.4964,2.4944,240081-2-7-53.xlsx
324,2.494,2.4912,240081-2-7-53.xlsx
325,2.4897,2.4891,240081-2-7-53.xlsx
326,2.4862,2.4829,240081-2-7-53.xlsx
327,2.479,2.4762,240081-2-7-53.xlsx
328,2.4751,2.4736,240081-2-7-53.xlsx
329,2.4737,2.4746,240081-2-7-53.xlsx
330,2.4904,2.4959,240081-2-7-53.xlsx
331,2.4916,2.4866,240081-2-7-53.xlsx
332,2.4798,2.4758,240081-2-7-53.xlsx
333,2.4702,2.4666,240081-2-7-53.xlsx
334,2.4657,2.4674,240081-2-7-53.xlsx
335,2.4861,2.4937,240081-2-7-53.xlsx
336,2.498,2.4958,240081-2-7-53.xlsx
337,2.463,2.4481,240081-2-7-53.xlsx
338,2.4371,2.4306,240081-2-7-53.xlsx
339,2.4296,2.4291,240081-2-7-53.xlsx
340,2.4386,2.441,240081-2-7-53.xlsx
341,2.446,2.4415,240081-2-7-53.xlsx
342,2.4464,2.4529,240081-2-7-53.xlsx
343,2.4599,2.4596,240081-2-7-53.xlsx
344,2.4581,2.4578,240081-2-7-53.xlsx
345,2.463,2.4636,240081-2-7-53.xlsx
346,2.4456,2.4353,240081-2-7-53.xlsx
347,2.4381,2.4409,240081-2-7-53.xlsx
348,2.45,2.4502,240081-2-7-53.xlsx
349,2.4524,2.4555,240081-2-7-53.xlsx
350,2.472,2.4767,240081-2-7-53.xlsx
351,2.4803,2.4782,240081-2-7-53.xlsx
352,2.4656,2.4619,240081-2-7-53.xlsx
353,2.4593,2.4575,240081-2-7-53.xlsx
354,2.4568,2.4559,240081-2-7-53.xlsx
355,2.4673,2.471,240081-2-7-53.xlsx
356,2.4764,2.477,240081-2-7-53.xlsx
357,2.4665,2.4632,240081-2-7-53.xlsx
358,2.4594,2.4567,240081-2-7-53.xlsx
359,2.4529,2.4511,240081-2-7-53.xlsx
360,2.4582,2.461,240081-2-7-53.xlsx
