capacity,charge_1A_I_length,charge_3v6_I_sum,charge_20soc_I_sum,discharge_20soc_I_sum,discharge_80soc_I_sum,discharge_20to80soc_I_sum,charge_1A_V_sum,charge_3v6_V_length,charge_20soc_V_sum,discharge_20soc_V_end,discharge_80soc_V_end,discharge_20to80soc_V_range,charge_1A_T_range,charge_3v6_T_range,charge_20soc_T_range,discharge_20soc_T_range,discharge_80soc_T_range,discharge_20to80soc_T_range
0.579166667,0.5,0.591082,0.591082,0.760817,0.841858,0.680970667,0.5,0.7,0.720125857,0.804210526,0.7959,0.7745,0.5,0.5,0.5,0.5,0.5,0.5
0.57875,0.5,0.591111765,0.591111765,0.760792,0.8418045,0.680942667,0.5,0.7,0.720127714,0.802105263,0.7963,0.7751,0.5,0.5,0.5,0.5,0.5,0.5
0.578333333,0.5,0.590718941,0.590718941,0.760748,0.8416755,0.680871333,0.5,0.7,0.720128714,0.802105263,0.7956,0.7744,0.5,0.5,0.5,0.5,0.5,0.5
0.577916667,0.5,0.590471529,0.590471529,0.760725,0.8416215,0.680843,0.5,0.7,0.720134714,0.802105263,0.7955,0.7743,0.5,0.5,0.5,0.5,0.5,0.5
0.577916667,0.5,0.590341765,0.590341765,0.760727,0.841696,0.680892,0.5,0.7,0.720126286,0.805263158,0.7961,0.7746,0.5,0.5,0.5,0.5,0.5,0.5
0.577083333,0.5,0.590048941,0.590048941,0.760752,0.841735,0.68091,0.5,0.7,0.720126143,0.804210526,0.7964,0.775,0.5,0.5,0.5,0.5,0.5,0.5
0.577083333,0.5,0.589116588,0.589116588,0.760813,0.84173,0.680886,0.5,0.695,0.714983714,0.807368421,0.7966,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.576666667,0.5,0.589073176,0.589073176,0.760819,0.841767,0.680909,0.5,0.695,0.714986571,0.804210526,0.7965,0.7751,0.5,0.5,0.5,0.5,0.5,0.5
0.57625,0.5,0.588561176,0.588561176,0.760814,0.8417745,0.680915667,0.5,0.695,0.714993286,0.804210526,0.7963,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.575833333,0.5,0.588294353,0.588294353,0.760819,0.8417785,0.680916667,0.5,0.695,0.714982143,0.804210526,0.7964,0.775,0.5,0.5,0.5,0.5,0.5,0.5
0.575416667,0.5,0.587731412,0.587731412,0.760878,0.8418335,0.680934,0.5,0.695,0.714977714,0.804210526,0.797,0.7756,0.5,0.5,0.5,0.5,0.5,0.5
0.575,0.5,0.588407882,0.588407882,0.760918,0.8419535,0.681001,0.5,0.695,0.714979,0.806315789,0.7967,0.7751,0.5,0.5,0.5,0.5,0.5,0.5
0.575,0.5,0.587632235,0.587632235,0.760883,0.841966,0.681020667,0.5,0.695,0.71498,0.806315789,0.7978,0.7762,0.5,0.5,0.5,0.5,0.5,0.5
0.574583333,0.5,0.586488,0.586488,0.760887,0.8420015,0.681043,0.5,0.69,0.709837571,0.809473684,0.7975,0.7756,0.5,0.5,0.5,0.5,0.5,0.5
0.574166667,0.5,0.586815765,0.586815765,0.760865,0.84189,0.680976,0.5,0.69,0.709840429,0.808421053,0.7977,0.7759,0.5,0.5,0.5,0.5,0.5,0.5
0.57375,0.5,0.586768,0.586768,0.760834,0.841781,0.680913667,0.5,0.69,0.709836429,0.807368421,0.7966,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.572916667,0.5,0.586774353,0.586774353,0.760844,0.841773,0.680904667,0.5,0.69,0.709836714,0.804210526,0.7975,0.7761,0.5,0.5,0.5,0.5,0.5,0.5
0.5725,0.5,0.586727647,0.586727647,0.760893,0.841821,0.680920667,0.5,0.69,0.709836429,0.803157895,0.7975,0.7762,0.5,0.5,0.5,0.5,0.5,0.5
0.572083333,0.5,0.585912706,0.585912706,0.760877,0.8418065,0.680916,0.5,0.69,0.709836571,0.804210526,0.7971,0.7757,0.5,0.5,0.5,0.5,0.5,0.5
0.57125,0.5,0.586568706,0.586568706,0.760762,0.8417945,0.680946333,0.5,0.69,0.709837857,0.804210526,0.7971,0.7757,0.5,0.5,0.5,0.5,0.5,0.5
0.571666667,0.5,0.585901294,0.585901294,0.760769,0.841849,0.680980333,0.5,0.69,0.709835857,0.805263158,0.797,0.7755,0.5,0.5,0.5,0.5,0.5,0.5
0.570833333,0.5,0.585544235,0.585544235,0.760878,0.8420075,0.68105,0.5,0.69,0.709835286,0.804210526,0.7973,0.7759,0.5,0.5,0.5,0.5,0.5,0.5
0.570416667,0.5,0.585357059,0.585357059,0.760812,0.841881,0.680987333,0.5,0.69,0.709834143,0.804210526,0.7964,0.775,0.5,0.5,0.5,0.5,0.5,0.5
0.57,0.5,0.585381765,0.585381765,0.760778,0.841791,0.680939,0.5,0.69,0.709837143,0.805263158,0.797,0.7755,0.5,0.5,0.5,0.5,0.5,0.5
0.569583333,0.5,0.585587647,0.585587647,0.760701,0.8417105,0.680910667,0.5,0.69,0.709838286,0.807368421,0.797,0.7753,0.5,0.5,0.5,0.5,0.5,0.5
0.569166667,0.5,0.584421059,0.584421059,0.760713,0.8416835,0.680888667,0.5,0.685,0.704689429,0.808421053,0.7967,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.56875,0.5,0.585150706,0.585150706,0.760708,0.8416085,0.680840333,0.5,0.69,0.709838,0.805263158,0.7967,0.7752,0.5,0.5,0.5,0.5,0.5,0.5
0.568333333,0.5,0.584380941,0.584380941,0.760787,0.841632,0.680829667,0.5,0.685,0.704695143,0.805263158,0.7968,0.7753,0.5,0.5,0.5,0.5,0.5,0.5
0.567916667,0.5,0.584219647,0.584219647,0.760892,0.841846,0.680938,0.5,0.685,0.704693143,0.807368421,0.7966,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.5675,0.5,0.575064941,0.575064941,0.76088,0.841838,0.680936667,0.5,0.68,0.699551429,0.808421053,0.7967,0.7749,0.5,0.5,0.5,0.5,0.5,0.5
0.567083333,0.5,0.583631412,0.583631412,0.760957,0.842004,0.681022,0.5,0.685,0.704704143,0.808421053,0.7965,0.7747,0.5,0.5,0.5,0.5,0.5,0.5
0.56625,0.5,0.574690353,0.574690353,0.761005,0.842021,0.681017667,0.5,0.68,0.699559857,0.806315789,0.7963,0.7747,0.5,0.5,0.5,0.5,0.5,0.5
0.565833333,0.5,0.574577412,0.574577412,0.761013,0.8420645,0.681044,0.5,0.68,0.699553143,0.805263158,0.796,0.7745,0.5,0.5,0.5,0.5,0.5,0.5
0.565416667,0.5,0.574001059,0.574001059,0.761063,0.842092,0.681045667,0.5,0.68,0.699550714,0.806315789,0.7961,0.7745,0.5,0.5,0.5,0.5,0.5,0.5
0.565,0.5,0.573681059,0.573681059,0.76102,0.842089,0.681057667,0.5,0.68,0.699554857,0.804210526,0.7961,0.7747,0.5,0.5,0.5,0.5,0.5,0.5
0.564583333,0.5,0.573519765,0.573519765,0.761039,0.8421485,0.681091333,0.5,0.68,0.699554143,0.805263158,0.7952,0.7737,0.5,0.5,0.5,0.5,0.5,0.5
0.564166667,0.5,0.573362118,0.573362118,0.760989,0.8420155,0.681019,0.5,0.68,0.699551286,0.806315789,0.7957,0.7741,0.5,0.5,0.5,0.5,0.5,0.5
0.563333333,0.5,0.573130588,0.573130588,0.761012,0.842063,0.681043,0.5,0.68,0.699554714,0.804210526,0.7958,0.7744,0.5,0.5,0.5,0.5,0.5,0.5
0.562916667,0.5,0.572908118,0.572908118,0.761082,0.842155,0.681081333,0.5,0.68,0.699563571,0.806315789,0.7952,0.7736,0.5,0.5,0.5,0.5,0.5,0.5
0.562916667,0.5,0.572426353,0.572426353,0.761079,0.842109,0.681051667,0.5,0.675,0.694419714,0.805263158,0.7949,0.7734,0.5,0.5,0.5,0.5,0.5,0.5
0.562083333,0.5,0.572746941,0.572746941,0.761129,0.842218,0.681107667,0.5,0.68,0.699560429,0.806315789,0.7954,0.7738,0.5,0.5,0.5,0.5,0.5,0.5
0.561666667,0.5,0.571577647,0.571577647,0.761118,0.8422345,0.681122667,0.5,0.675,0.694423,0.808421053,0.7952,0.7734,0.5,0.5,0.5,0.5,0.5,0.5
0.56125,0.5,0.571706,0.571706,0.761085,0.842239,0.681136667,0.5,0.675,0.694426286,0.807368421,0.7948,0.7731,0.5,0.5,0.5,0.5,0.5,0.5
0.560833333,0.5,0.571345412,0.571345412,0.761037,0.842141,0.681087,0.5,0.675,0.694416143,0.807368421,0.7954,0.7737,0.5,0.5,0.5,0.5,0.5,0.5
0.560416667,0.5,0.570750118,0.570750118,0.761002,0.842121,0.681085,0.5,0.675,0.694409714,0.808421053,0.795,0.7732,0.5,0.5,0.5,0.5,0.5,0.5
0.56,0.5,0.570773529,0.570773529,0.76096,0.84211,0.681091667,0.5,0.675,0.694412429,0.809473684,0.7955,0.7736,0.5,0.5,0.5,0.5,0.5,0.5
0.559583333,0.5,0.570583294,0.570583294,0.761027,0.8421815,0.681117,0.5,0.675,0.694419571,0.808421053,0.7961,0.7743,0.5,0.5,0.5,0.5,0.5,0.5
0.55875,0.5,0.570164588,0.570164588,0.76098,0.842039,0.681037333,0.5,0.675,0.694417,0.808421053,0.795,0.7732,0.5,0.5,0.5,0.5,0.5,0.5
0.558333333,0.5,0.570218118,0.570218118,0.760935,0.841918,0.680971667,0.5,0.675,0.694423571,0.808421053,0.795,0.7732,0.5,0.5,0.5,0.5,0.5,0.5
0.557916667,0.5,0.570501765,0.570501765,0.761,0.8419405,0.680965,0.5,0.675,0.694422857,0.807368421,0.7947,0.773,0.5,0.5,0.5,0.5,0.5,0.5
0.5575,0.5,0.570040588,0.570040588,0.760963,0.8419035,0.680952333,0.5,0.675,0.694423286,0.807368421,0.795,0.7733,0.5,0.5,0.5,0.5,0.5,0.5
0.556666667,0.5,0.569564235,0.569564235,0.761072,0.8420705,0.681028,0.5,0.675,0.694425143,0.809473684,0.795,0.7731,0.5,0.5,0.5,0.5,0.5,0.5
0.555833333,0.5,0.568552824,0.568552824,0.761074,0.842072,0.681028333,0.5,0.67,0.689283286,0.811578947,0.7955,0.7734,0.5,0.5,0.5,0.5,0.5,0.5
0.555833333,0.5,0.568478118,0.568478118,0.761068,0.8420845,0.681038667,0.5,0.67,0.689284,0.807368421,0.7954,0.7737,0.5,0.5,0.5,0.5,0.5,0.5
0.555,0.5,0.569212,0.569212,0.761032,0.842063,0.681036333,0.5,0.675,0.694429857,0.809473684,0.7958,0.7739,0.5,0.5,0.5,0.5,0.5,0.5
0.554583333,0.5,0.568175647,0.568175647,0.761038,0.842067,0.681036667,0.5,0.67,0.689276714,0.809473684,0.7958,0.7739,0.5,0.5,0.5,0.5,0.5,0.5
0.554166667,0.5,0.567851294,0.567851294,0.761,0.8420305,0.681025333,0.5,0.67,0.689278143,0.811578947,0.7951,0.773,0.5,0.5,0.5,0.5,0.5,0.5
